[DEBUG] 2019-06-17 03:55:33 [main] DisambarkationActionTest:55 - Passager [id=1, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=2, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=3, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=4, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=5, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=6, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=7, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=8, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=9, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=10, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=11, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=12, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=13, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=14, terminalId=1, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=15, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=16, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=17, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=18, terminalId=0, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=19, terminalId=3, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=20, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=21, terminalId=2, passagerTarget=TO_DISAMBARK]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:55 - Passager [id=22, terminalId=3, passagerTarget=TO_DISAMBARK]
